35 AI Kontinuum
Genese;1;
Improvisieren;2;
Mosaik bauen;3;
Rekombinieren;4;
Basteln;5;
Erstellen;6;
Konstruieren;7;
Verstellen;8;
Standardisieren;9;
Hobbyprojekt;10;
Probieren;11;
Zusammenstellung;12;
Abbilden und Bilden;13;
Dekonstruktion;14;
Restrukturieren;15;
Neu-Entwickeln;16;
Re-Validieren und Re Neu Verifizieren;17;
Neu-Szenerie-Komposition;18;
Darstellung der Ergebnis Neu Noch mal Entwicklung;19;
Neugestaltung;20;
Rekonstruieren;21;
Studieren;22;
Neu Untersuchen;23;
Nochmal reparieren;24;
Mustern Untersuchen;25;
Vergleichen Neu Orginal;26;
Unit-Tests Rekonsolidierung;27;
Neu-Anpassung;28;
Reimplementieren wieder;29;
Re-Energetisieren;30;
Rück - Verfeinern;31;
Remodellieren;32;
Skalieren;33;
Reproduzieren;34;
Replizieren;35;
Replikator;70;

